Year,crimes.total,crimes.penal.code,crimes.person,murder,assault,sexual.offenses,rape,stealing.general,burglary,house.theft,vehicle.theft,out.of.vehicle.theft,shop.theft,robbery,fraud,criminal.damage,other.penal.crimes,narcotics,drunk.driving,population
1950,2784,2306,120,1,105,40,5,1578,295,NA,NA,NA,NA,3,209,72,477,0,49,7014000
1951,3284,2754,125,1,109,45,6,1899,342,NA,NA,NA,NA,3,310,73,530,0,66,7073000
1952,3160,2608,119,1,104,39,4,1846,372,NA,NA,NA,NA,3,217,82,553,0,78,7125000
1953,2909,2689,119,1,105,45,5,1929,361,NA,NA,NA,NA,4,209,88,220,0,91,7171000
1954,3028,2791,126,1,107,41,5,1981,393,NA,NA,NA,NA,4,236,101,237,0,103,7213000
1955,3357,3101,135,1,118,44,5,2254,459,NA,NA,NA,NA,4,236,111,255,0,125,7262000
1956,3488,3215,133,1,116,38,5,2363,470,NA,NA,NA,NA,6,234,133,273,0,160,7315000
1957,3774,3520,133,1,116,36,5,2635,580,NA,245,NA,NA,6,254,155,255,0,163,7364000
1958,4064,3791,127,1,113,40,6,2880,724,NA,279,NA,NA,6,254,167,273,1,166,7409000
1959,4033,3733,125,1,110,47,6,2793,715,NA,238,NA,NA,6,251,179,299,1,181,7446000
1960,3982,3694,131,1,116,54,7,2729,753,NA,244,NA,NA,6,269,176,288,2,170,7480000
1961,4108,3747,131,1,116,53,7,2785,751,NA,279,NA,NA,7,256,198,364,NA,177,7520000
1962,4263,3885,129,1,115,49,7,2907,820,NA,315,NA,NA,7,250,205,381,NA,168,7562000
1963,4466,4062,132,1,118,49,7,3066,870,NA,329,NA,NA,8,270,203,397,NA,166,7604000
1964,4799,4391,137,1,124,51,8,3337,947,NA,352,NA,NA,9,294,238,414,NA,193,7661000
1965,5801,5090,167,3,151,51,8,3694,1042,99,397,717,123,12,431,297,711,10,213,7734000
1966,6063,5263,184,3,166,48,8,3736,1031,105,350,641,168,14,529,287,800,13,218,7808000
1967,6421,5555,189,2,173,49,8,3939,1086,108,384,639,204,13,548,314,867,51,229,7868000
1968,7166,6242,228,1,212,47,8,4240,1232,114,396,628,291,15,801,364,924,101,201,7914000
1969,7671,6036,241,1,223,42,8,4142,1131,116,384,574,255,16,681,376,1635,552,231,7968000
1970,8157,7002,247,1,228,41,9,4874,1338,137,402,694,288,19,890,421,1155,196,212,8043000
1971,8824,7592,238,1,218,38,8,5621,1658,183,457,865,287,21,726,459,1232,223,231,8098000
1972,8509,7371,242,1,223,32,7,5535,1568,200,426,849,335,25,592,456,1138,235,223,8122000
1973,8055,6729,233,1,215,33,7,4877,1413,184,380,720,378,26,563,483,1325,258,242,8137000
1974,8275,6992,261,2,243,41,8,4968,1402,193,372,774,226,28,606,561,1283,232,256,8161000
1975,9221,7849,282,1,263,33,9,5709,1631,246,448,1000,324,29,615,668,1371,258,265,8193000
1976,9720,8310,279,2,260,29,9,6132,1817,271,532,1201,332,33,653,668,1410,217,253,8222000
1977,10233,8682,306,2,286,33,10,6350,1878,270,539,1229,382,41,695,755,1551,252,269,8252000
1978,9706,8261,297,1,276,34,10,6003,1741,257,469,1152,379,42,625,741,1446,250,274,8276000
1979,9840,8418,301,2,279,34,11,5909,1680,213,412,1168,379,37,854,734,1422,273,262,8294000
1980,11170,9156,320,2,297,37,11,6228,1675,245,413,1210,423,41,1217,711,2014,715,261,8310000
1981,11247,9141,315,2,292,38,10,6191,1639,241,393,1129,450,39,1169,756,2106,812,253,8320000
1982,11817,9676,363,2,339,47,11,6542,1662,253,429,1217,523,42,1134,820,2140,824,255,8325000
1983,11515,9598,378,1,351,43,11,6522,1668,287,419,1212,545,42,1059,816,1917,577,270,8329000
1984,11793,10144,396,1,369,46,12,6936,1701,296,460,1354,606,44,1093,864,1649,459,263,8337000
1985,12195,10711,411,2,383,49,12,7413,1731,291,539,1500,731,46,1135,886,1484,431,237,8350000
1986,13087,11471,418,2,392,49,12,8015,1815,278,662,1819,742,45,1173,957,1616,454,277,8370000
1987,13020,11317,441,2,414,55,13,7757,1695,242,696,1869,697,47,1203,978,1703,499,273,8398000
1988,12875,11320,477,2,445,62,16,7653,1552,239,716,1768,701,50,1213,1016,1555,344,289,8437000
1989,13479,11820,497,2,467,65,17,8108,1615,251,813,1826,705,61,1085,1095,1659,396,308,8493000
1990,14240,12575,504,1,475,61,16,8650,1800,262,882,1842,754,70,1247,1133,1665,310,298,8559000
1991,13915,12130,497,2,469,64,17,8506,1809,256,818,1670,807,72,943,1088,1785,357,303,8617000
1992,13788,12134,549,2,522,81,19,8442,1799,249,750,1565,764,72,832,1087,1654,337,283,8668000
1993,13664,11826,614,2,584,94,25,8022,1786,232,701,1402,703,70,740,1085,1838,467,279,8719000
1994,12670,11112,641,2,611,87,21,7440,1609,201,618,1279,635,61,569,1146,1558,351,239,8781000
1995,12982,11536,647,2,616,88,19,7759,1615,189,659,1413,665,65,577,1213,1446,323,193,8831000
1996,13294,11915,640,2,608,84,18,7869,1639,190,679,1514,700,66,778,1238,1378,349,170,8843000
1997,13554,12229,655,2,624,87,19,8372,1669,208,752,1715,748,75,502,1320,1290,344,154,8846000
1998,13344,12067,674,2,643,94,22,8140,1560,198,734,1716,703,76,489,1362,1222,357,137,8851000
1999,13418,12001,709,2,673,102,24,8029,1447,189,739,1742,634,97,511,1266,1353,410,157,8858000
2000,13694,12105,696,2,663,98,23,7934,1471,198,712,1798,593,101,569,1393,1520,365,196,8872000
2001,13370,11758,701,2,668,103,23,7495,1326,171,675,1609,582,96,475,1516,1538,364,203,8896000
2002,13663,11938,718,2,682,108,24,7598,1336,183,679,1652,595,99,481,1553,1646,421,217,8925000
2003,13997,12282,768,2,726,113,29,7446,1366,193,592,1595,660,95,734,1684,1695,455,232,8958000
2004,13885,12134,787,2,746,116,29,7247,1326,195,524,1515,687,96,641,1637,1751,501,247,8994000
2005,13753,11951,846,3,805,130,42,6979,1254,184,467,1428,646,104,639,1634,1802,574,257,9030000
2006,13490,11451,889,3,848,134,46,6417,1094,165,402,1180,619,95,633,1627,2039,736,301,9081000
2007,14280,12086,948,3,899,137,52,6302,1057,185,350,1040,640,95,849,1958,2194,782,321,9148000
2008,14938,12433,968,2,918,154,59,6091,1023,198,304,870,693,97,1066,2115,2518,848,337,9220000
2009,15101,12588,980,2,927,169,64,5947,1026,220,255,790,742,103,1166,2175,2513,862,322,9299000
2010,14605,12003,991,4,936,183,64,5631,985,211,227,733,684,98,1115,1760,2601,937,316,9378000
2011,14988,12267,1005,2,947,181,69,5783,995,235,213,706,663,103,1220,1774,2721,946,314,9449000
2012,14734,12148,974,2,914,178,66,5613,922,224,169,655,635,97,1356,1600,2586,994,286,9519000
2013,14603,12072,896,3,837,184,63,5552,888,219,159,543,509,87,1545,1470,2532,1002,279,9644000
2014,14890,12305,923,3,859,210,69,5572,913,231,147,542,505,86,1610,1559,2585,983,271,9747000
2015,15342,12803,932,3,868,184,60,5404,917,232,135,552,515,86,1896,1989,2539,960,267,9851000
